School ID - NCES Assigned [Public School] Latest available year,School Name,State Name [Public School] Latest available year,Grade 12 offered [Public School] 2018-19,Grade 13 Offered [Public School] 2018-19,Ungraded offered [Public School] 2018-19,Adult Education Offered [Public School] 2018-19,No Grades Offered [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Total Students All Grades (Includes AE) [Public School] 2018-19,Free Lunch Eligible [Public School] 2018-19,Direct Certification [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19
480809000133,ALVIN J H,Texas,2-No,2-No,2-No,2-No,2-No,907,907,514,–,60,574,†,58.3,15.56
480809000134,ALVIN PRI,Texas,2-No,2-No,2-No,2-No,2-No,573,573,363,–,25,388,†,39.08,14.66
484347013616,ALVIN V ANDERSON RISE ACADEMY,TEXAS,1-Yes,2-No,2-No,2-No,2-No,107,107,82,–,1,83,107,9.32,11.48
480789006351,ALVIS C STORY EL,Texas,2-No,2-No,2-No,2-No,2-No,502,502,104,–,18,122,†,37.9,13.25
480810000140,ALVORD EL,Texas,2-No,2-No,2-No,2-No,2-No,345,345,136,–,20,156,†,22.03,15.66
480810000141,ALVORD H S,Texas,1-Yes,2-No,2-No,2-No,2-No,211,211,54,–,16,70,211,21.53,9.8
480810006205,ALVORD MIDDLE,Texas,2-No,2-No,2-No,2-No,2-No,171,171,44,–,16,60,†,13.88,12.32
483879008139,AMADOR R RODRIGUEZ JUVENILE BOOT CAMP,Texas,2-No,2-No,2-No,2-No,2-No,32,32,32,–,0,32,27,6,5.33
483486006159,AMANDA GARZA-PENA EL,Texas,2-No,2-No,2-No,2-No,2-No,651,651,626,–,0,626,†,37.67,17.28
483765004222,AMANDA ROCHELL EL,Texas,2-No,2-No,2-No,2-No,2-No,561,561,331,–,31,362,†,40.19,13.96
480813007086,AMARILLO AREA CTR FOR ADVANCED LRN,Texas,1-Yes,2-No,2-No,2-No,2-No,18,18,2,–,1,3,18,28.61,0.63
480016311503,AMARILLO COLLEGIATE ACADEMY,Texas,1-Yes,2-No,2-No,2-No,2-No,451,451,117,–,15,132,96,29.76,15.15
480813000142,AMARILLO H S,Texas,1-Yes,2-No,2-No,2-No,2-No,2090,2090,432,–,76,508,2090,129.55,16.13
480028411566,AMBASSADORS PREPARATORY ACADEMY,Texas,2-No,2-No,2-No,2-No,2-No,323,323,248,–,25,273,†,20.68,15.62
481686013368,AMBER TERRACE DISCOVERY & DESIGN EARLY CHILDHOOD,TEXAS,2-No,2-No,2-No,2-No,2-No,448,448,445,–,0,445,†,25.85,17.33
480967004631,AMELIA EL,Texas,2-No,2-No,2-No,2-No,2-No,710,710,587,–,43,630,†,39.28,18.08
484071007276,AMERICAS H S,Texas,1-Yes,2-No,2-No,2-No,2-No,2535,2535,1383,–,278,1661,2535,142.83,17.75
480816000188,AMHERST SCHOOL,Texas,1-Yes,2-No,2-No,2-No,2-No,142,142,116,–,0,116,40,19,7.47
482829011868,AMI KIDS RIO GRANDE VALLEY (FKA RGMI),Texas,1-Yes,2-No,2-No,2-No,2-No,7,7,0,–,0,0,7,3.85,1.82
480011308237,AMIGOS POR VIDA-FRIENDS FOR LIFE CHARTER SCHOOL,Texas,2-No,2-No,2-No,2-No,2-No,494,494,485,–,0,485,†,24.89,19.85
480870000231,AMOS EL,Texas,2-No,2-No,2-No,2-No,2-No,453,453,378,–,29,407,†,32.3,14.02
484365002775,AMPARO GUTIERREZ EL,Texas,2-No,2-No,2-No,2-No,2-No,484,484,376,–,0,376,†,33,14.67
483765017096,AMY PARKS-HEATH EL,TEXAS,2-No,2-No,2-No,2-No,2-No,523,523,13,–,4,17,†,32.7,15.99
480819000189,ANAHUAC EL,Texas,2-No,2-No,2-No,2-No,2-No,648,648,333,–,45,378,†,43,15.07
480819000190,ANAHUAC H S,Texas,1-Yes,2-No,2-No,2-No,2-No,353,353,143,–,33,176,353,26.43,13.36
480819000191,ANAHUAC MIDDLE,Texas,2-No,2-No,2-No,2-No,2-No,320,320,151,–,20,171,†,25.84,12.38
480771000059,ANDERSON ACADEMY,Texas,2-No,2-No,2-No,2-No,2-No,845,845,690,–,54,744,†,54.49,15.51
481020013473,ANDERSON ACCELERATED H S,TEXAS,1-Yes,2-No,2-No,2-No,2-No,52,52,41,–,3,44,41,3,17.33
482855007764,ANDERSON EL,Texas,2-No,2-No,2-No,2-No,2-No,258,258,211,–,8,219,†,19,13.58
